model,pearson_correlation,weight_in_final
Model 1 (Full Data),0.5131151901677109,0.23130280811137208
Model 2 (75% Recent),0.5358804585367997,0.24156496873744543
Model 3 (50% Recent),0.5539028132409279,0.2496891118766917
Simple Ensemble,0.5715620728148226,
Weighted Ensemble,0.5746461190949248,
